time,ball-x,ball-y,ball-z,kalman-x,kalman-y,kalman-z,cam-desired-pos-x,cam-desired-pos-y,cam-desired-pos-z,cam-desired-orient-x,cam-desired-orient-y,cam-desired-orient-z,cam-desired-orient-w,cam-real-pos-x,cam-real-pos-y,cam-real-pos-z,cam-real-orient-x,cam-real-orient-y,cam-real-orient-z,cam-real-orient-w,q-real-0,q-real-1,q-real-2,q-real-3,q-real-4,q-real-5,q-real-6,q-desired-0,q-desired-1,q-desired-2,q-desired-3,q-desired-4,q-desired-5,q-desired-6,ball-kalman-error
0,0.0101446,0.0210582,0.487859,0.00287349,0.0748242,0.428745,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.0802378763
0.2,0.0505959,-0.0213249,0.37953,-0.00207738,0.0806416,0.429372,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.1251234051
0.4,0.0505959,-0.0213249,0.37953,-0.00688867,0.0862796,0.429992,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.1320212773
0.6,0.0505959,-0.0213249,0.37953,0.008609,0.0227473,0.491891,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.1277898779
0.8,0.0477554,-0.00673231,0.390703,0.00486578,0.0214661,0.497358,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.118363672
1,0.0477554,-0.00673231,0.390703,0.0354145,-0.021406,0.40737,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.0254048003
1.2,0.0477554,-0.00673231,0.390703,0.0334386,-0.0278066,0.404736,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.0290864496
1.4,0.0477554,-0.00673231,0.390703,0.0408841,-0.015155,0.393303,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.0111766037
1.6,0.0477554,-0.00673231,0.390703,0.0393695,-0.0192242,0.389952,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.0150643498
1.8,0.0239853,0.0227162,0.427272,0.0378692,-0.0232557,0.386639,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19601,-0.687871,-0.112329,1.89449,-0.0761188,-1.21068,1.05757,0.0629064302
